상권_코드,filename,lat,lng,heading,success
3120017,37.572537_127.013686_67.jpg,37.572537,127.013686,67,True
3120017,37.572537_127.013686_247.jpg,37.572537,127.013686,247,True
3120017,37.574320_127.015341_215.jpg,37.57432,127.015341,215,True
3120017,37.574320_127.015341_35.jpg,37.57432,127.015341,35,True
3120017,37.572030_127.014006_70.jpg,37.57203,127.014006,70,True
3120017,37.572030_127.014006_250.jpg,37.57203,127.014006,250,True
3120017,37.571322_127.015647_192.jpg,37.571322,127.015647,192,True
3120017,37.571322_127.015647_12.jpg,37.571322,127.015647,12,True
3120017,37.571590_127.015869_179.jpg,37.57159,127.015869,179,True
3120017,37.571590_127.015869_359.jpg,37.57159,127.015869,359,True
3120017,37.573070_127.015625_266.jpg,37.57307,127.015625,266,True
3120017,37.573070_127.015625_86.jpg,37.57307,127.015625,86,True
3120017,37.571912_127.015716_86.jpg,37.571912,127.015716,86,True
3120017,37.571912_127.015716_266.jpg,37.571912,127.015716,266,True
3120012,37.580932_127.003341_3.jpg,37.580932,127.003341,3,True
3120012,37.580932_127.003341_183.jpg,37.580932,127.003341,183,True
3120012,37.580952_127.002198_179.jpg,37.580952,127.002198,179,True
3120012,37.580952_127.002198_359.jpg,37.580952,127.002198,359,True
3120012,37.580759_127.004423_170.jpg,37.580759,127.004423,170,True
3120012,37.580759_127.004423_350.jpg,37.580759,127.004423,350,True
3120012,37.580949_127.002973_3.jpg,37.580949,127.002973,3,True
3120012,37.580949_127.002973_183.jpg,37.580949,127.002973,183,True
3120012,37.580957_127.002501_359.jpg,37.580957,127.002501,359,True
3120012,37.580957_127.002501_179.jpg,37.580957,127.002501,179,True
3120012,37.584487_126.997305_332.jpg,37.584487,126.997305,332,True
3120012,37.584487_126.997305_152.jpg,37.584487,126.997305,152,True
3120012,37.582183_126.999940_195.jpg,37.582183,126.99994,195,True
3120012,37.582183_126.999940_15.jpg,37.582183,126.99994,15,True
3120012,37.582211_127.001953_84.jpg,37.582211,127.001953,84,True
3120012,37.582211_127.001953_264.jpg,37.582211,127.001953,264,True
3120012,37.581918_127.001977_268.jpg,37.581918,127.001977,268,True
3120012,37.581918_127.001977_88.jpg,37.581918,127.001977,88,True
3120011,37.572671_126.996729_107.jpg,37.572671,126.996729,107,True
3120011,37.572671_126.996729_287.jpg,37.572671,126.996729,287,True
3120011,37.573208_126.996660_74.jpg,37.573208,126.99666,74,True
3120011,37.573208_126.996660_254.jpg,37.573208,126.99666,254,True
3120011,37.572385_126.997778_178.jpg,37.572385,126.997778,178,True
3120011,37.572385_126.997778_358.jpg,37.572385,126.997778,358,True
3120011,37.572419_126.998901_358.jpg,37.572419,126.998901,358,True
3120011,37.572419_126.998901_178.jpg,37.572419,126.998901,178,True
3120011,37.572399_126.998220_358.jpg,37.572399,126.99822,358,True
3120011,37.572399_126.998220_178.jpg,37.572399,126.99822,178,True
3120011,37.570604_126.996981_194.jpg,37.570604,126.996981,194,True
3120011,37.570604_126.996981_14.jpg,37.570604,126.996981,14,True
3120011,37.568975_126.997926_265.jpg,37.568975,126.997926,265,True
3120011,37.568975_126.997926_85.jpg,37.568975,126.997926,85,True
3120016,37.572188_127.010631_305.jpg,37.572188,127.010631,305,True
3120016,37.572188_127.010631_125.jpg,37.572188,127.010631,125,True
3120016,37.571815_127.010353_283.jpg,37.571815,127.010353,283,True
3120016,37.571815_127.010353_103.jpg,37.571815,127.010353,103,True
3120016,37.570699_127.011139_181.jpg,37.570699,127.011139,181,True
3120016,37.570699_127.011139_1.jpg,37.570699,127.011139,1,True
3120016,37.572285_127.009837_105.jpg,37.572285,127.009837,105,True
3120016,37.572285_127.009837_285.jpg,37.572285,127.009837,285,True
3120016,37.570607_127.012606_90.jpg,37.570607,127.012606,90,True
3120016,37.570607_127.012606_270.jpg,37.570607,127.012606,270,True
3120016,37.571385_127.010901_276.jpg,37.571385,127.010901,276,True
3120016,37.571385_127.010901_96.jpg,37.571385,127.010901,96,True
3120016,37.571583_127.010491_165.jpg,37.571583,127.010491,165,True
3120016,37.571583_127.010491_345.jpg,37.571583,127.010491,345,True
3120016,37.571574_127.009894_344.jpg,37.571574,127.009894,344,True
3120016,37.571574_127.009894_164.jpg,37.571574,127.009894,164,True
3120015,37.571841_127.006078_229.jpg,37.571841,127.006078,229,True
3120015,37.571841_127.006078_49.jpg,37.571841,127.006078,49,True
3120015,37.571591_127.006266_249.jpg,37.571591,127.006266,249,True
3120015,37.571591_127.006266_69.jpg,37.571591,127.006266,69,True
